,TITLE,YEAR,LINKS,RATING,DIRECTOR1,ACTOR_1,ACTOR_2
41,Casablanca,1942,https://www.imdb.com//title/tt0034583/,8.5,Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman
42,Whiplash,2014,https://www.imdb.com//title/tt2582802/,8.5,Damien Chazelle (dir.), Miles Teller, J.K. Simmons
43,Top Gun: Maverick,2022,https://www.imdb.com//title/tt1745960/,8.5,Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly
44,The Intouchables,2011,https://www.imdb.com//title/tt1675434/,8.5,Olivier Nakache (dir.), François Cluzet, Omar Sy
45,Seppuku,1962,https://www.imdb.com//title/tt0056058/,8.4,Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama
46,Modern Times,1936,https://www.imdb.com//title/tt0027977/,8.4,Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard
47,Hotaru no haka,1988,https://www.imdb.com//title/tt0095327/,8.4,Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi
48,Once Upon a Time in the West,1968,https://www.imdb.com//title/tt0064116/,8.4,Sergio Leone (dir.), Henry Fonda, Charles Bronson
49,Rear Window,1954,https://www.imdb.com//title/tt0047396/,8.4,Alfred Hitchcock (dir.), James Stewart, Grace Kelly
50,Alien,1979,https://www.imdb.com//title/tt0078748/,8.4,Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt
51,City Lights,1931,https://www.imdb.com//title/tt0021749/,8.4,Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill
52,Nuovo Cinema Paradiso,1988,https://www.imdb.com//title/tt0095765/,8.4,Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale
53,Memento,2000,https://www.imdb.com//title/tt0209144/,8.4,Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss
54,Apocalypse Now,1979,https://www.imdb.com//title/tt0078788/,8.4,Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando
55,Raiders of the Lost Ark,1981,https://www.imdb.com//title/tt0082971/,8.4,Steven Spielberg (dir.), Harrison Ford, Karen Allen
56,Django Unchained,2012,https://www.imdb.com//title/tt1853728/,8.4,Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz
57,WALL·E,2008,https://www.imdb.com//title/tt0910970/,8.4,Andrew Stanton (dir.), Ben Burtt, Elissa Knight
58,The Lives of Others,2006,https://www.imdb.com//title/tt0405094/,8.4,Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck
59,Sunset Blvd.,1950,https://www.imdb.com//title/tt0043014/,8.4,Billy Wilder (dir.), William Holden, Gloria Swanson
60,Paths of Glory,1957,https://www.imdb.com//title/tt0050825/,8.4,Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker
61,The Shining,1980,https://www.imdb.com//title/tt0081505/,8.4,Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall
62,The Great Dictator,1940,https://www.imdb.com//title/tt0032553/,8.4,Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard
63,Witness for the Prosecution,1957,https://www.imdb.com//title/tt0051201/,8.4,Billy Wilder (dir.), Tyrone Power, Marlene Dietrich
64,Avengers: Infinity War,2018,https://www.imdb.com//title/tt4154756/,8.4,Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth
65,Aliens,1986,https://www.imdb.com//title/tt0090605/,8.3,James Cameron (dir.), Sigourney Weaver, Michael Biehn
66,American Beauty,1999,https://www.imdb.com//title/tt0169547/,8.3,Sam Mendes (dir.), Kevin Spacey, Annette Bening
67,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://www.imdb.com//title/tt0057012/,8.3,Stanley Kubrick (dir.), Peter Sellers, George C. Scott
68,Spider-Man: Into the Spider-Verse,2018,https://www.imdb.com//title/tt4633694/,8.3,Bob Persichetti (dir.), Shameik Moore, Jake Johnson
69,The Dark Knight Rises,2012,https://www.imdb.com//title/tt1345836/,8.3,Christopher Nolan (dir.), Christian Bale, Tom Hardy
70,Oldeuboi,2003,https://www.imdb.com//title/tt0364569/,8.3,Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-tae
71,Joker,2019,https://www.imdb.com//title/tt7286456/,8.3,Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro
72,Braveheart,1995,https://www.imdb.com//title/tt0112573/,8.3,Mel Gibson (dir.), Mel Gibson, Sophie Marceau
73,Amadeus,1984,https://www.imdb.com//title/tt0086879/,8.3,Milos Forman (dir.), F. Murray Abraham, Tom Hulce
74,Toy Story,1995,https://www.imdb.com//title/tt0114709/,8.3,John Lasseter (dir.), Tom Hanks, Tim Allen
75,Coco,2017,https://www.imdb.com//title/tt2380307/,8.3,Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal
76,Das Boot,1981,https://www.imdb.com//title/tt0082096/,8.3,Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer
77,Inglourious Basterds,2009,https://www.imdb.com//title/tt0361748/,8.3,Quentin Tarantino (dir.), Brad Pitt, Diane Kruger
78,Mononoke-hime,1997,https://www.imdb.com//title/tt0119698/,8.3,Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida
79,Avengers: Endgame,2019,https://www.imdb.com//title/tt4154796/,8.3,Anthony Russo (dir.), Robert Downey Jr., Chris Evans
80,Once Upon a Time in America,1984,https://www.imdb.com//title/tt0087843/,8.3,Sergio Leone (dir.), Robert De Niro, James Woods
81,Good Will Hunting,1997,https://www.imdb.com//title/tt0119217/,8.3,Gus Van Sant (dir.), Robin Williams, Matt Damon
82,Toy Story 3,2010,https://www.imdb.com//title/tt0435761/,8.3,Lee Unkrich (dir.), Tom Hanks, Tim Allen
83,Requiem for a Dream,2000,https://www.imdb.com//title/tt0180093/,8.3,Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto
84,Kimi no na wa.,2016,https://www.imdb.com//title/tt5311514/,8.3,Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi
85,Singin' in the Rain,1952,https://www.imdb.com//title/tt0045152/,8.3,Stanley Donen (dir.), Gene Kelly, Donald O'Connor
86,3 Idiots,2009,https://www.imdb.com//title/tt1187043/,8.3,Rajkumar Hirani (dir.), Aamir Khan, Madhavan
87,Star Wars: Episode VI - Return of the Jedi,1983,https://www.imdb.com//title/tt0086190/,8.3,Richard Marquand (dir.), Mark Hamill, Harrison Ford
88,2001: A Space Odyssey,1968,https://www.imdb.com//title/tt0062622/,8.3,Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood
89,Eternal Sunshine of the Spotless Mind,2004,https://www.imdb.com//title/tt0338013/,8.3,Michel Gondry (dir.), Jim Carrey, Kate Winslet
90,Reservoir Dogs,1992,https://www.imdb.com//title/tt0105236/,8.3,Quentin Tarantino (dir.), Harvey Keitel, Tim Roth
91,Tengoku to jigoku,1963,https://www.imdb.com//title/tt0057565/,8.3,Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada
92,Capharnaüm,2018,https://www.imdb.com//title/tt8267604/,8.3,Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw
93,Citizen Kane,1941,https://www.imdb.com//title/tt0033467/,8.3,Orson Welles (dir.), Orson Welles, Joseph Cotten
94,Lawrence of Arabia,1962,https://www.imdb.com//title/tt0056172/,8.3,David Lean (dir.), Peter O'Toole, Alec Guinness
95,Jagten,2012,https://www.imdb.com//title/tt2106476/,8.3,Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen
